epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4799.74,1.15187,2.66334,1.00023,1.40637,0.86594,0.7,0.78722,0.42573,0.59357,0.53556,0.52596,0.26074,1.65973,3.23087,1.14838,2.398,0.0008516,0.0008516,0.0008516
31,4958.86,1.08198,2.72384,0.97264,1.36701,0.52472,0.5,0.41788,0.20586,0.68644,0.5,0.49475,0.1754,2.16566,2.95042,1.89566,2.88943,0.000812,0.000812,0.000812
32,5115.64,1.13894,2.75867,0.95866,1.40439,0.71674,0.76667,0.74353,0.38508,0.59342,0.63333,0.50151,0.2165,1.72634,3.06019,1.21538,2.41256,0.0007724,0.0007724,0.0007724
33,5272.1,1.09935,2.60458,0.93224,1.37301,0.70132,0.70454,0.78995,0.44024,0.83592,0.46667,0.5666,0.22418,1.48385,3.13304,1.29843,2.12463,0.0007328,0.0007328,0.0007328
34,5428.07,1.04196,2.74164,0.88971,1.31257,0.70056,0.6,0.74318,0.4277,0.7097,0.66667,0.62602,0.2389,1.51402,3.13519,1.25773,2.10473,0.0006932,0.0006932,0.0006932
35,5584.14,1.03944,2.7347,0.89833,1.32722,0.56213,0.8,0.70978,0.41971,0.55373,0.5378,0.51859,0.23368,1.56404,3.19578,1.32032,2.24168,0.0006536,0.0006536,0.0006536
36,5740.79,1.08238,2.70756,1.00153,1.36257,0.743,0.8,0.82055,0.43806,0.66416,0.56667,0.5369,0.23949,1.5735,3.01164,1.17041,2.29799,0.000614,0.000614,0.000614
37,5901.06,1.05447,2.62451,0.90521,1.37785,0.70398,0.83333,0.83541,0.44521,0.61967,0.7,0.60304,0.23439,1.45523,2.86627,1.27141,2.13317,0.0005744,0.0005744,0.0005744
38,6058,0.95209,2.51891,0.83539,1.29682,0.80148,0.83333,0.85561,0.48188,0.64776,0.7,0.6297,0.25116,1.41588,2.85425,1.13728,2.09958,0.0005348,0.0005348,0.0005348
39,6207.66,0.96096,2.52945,0.84281,1.23904,0.80172,0.83333,0.81564,0.49984,0.55554,0.62514,0.53266,0.24508,1.40133,3.11774,1.15914,2.16218,0.0004952,0.0004952,0.0004952
40,6355.81,0.94185,2.53585,0.82198,1.2754,0.86545,0.83333,0.86993,0.50433,0.6323,0.7,0.60371,0.28741,1.44769,2.78074,1.06592,2.11932,0.0004556,0.0004556,0.0004556
41,6503.88,0.85839,2.19719,0.85936,1.43292,0.79428,0.73333,0.82468,0.35717,0.69253,0.63333,0.61468,0.22388,1.69841,2.86913,1.25667,2.52111,0.000416,0.000416,0.000416
42,6655.47,0.89083,2.29754,0.77744,1.47392,0.87116,0.76667,0.84901,0.36019,0.69619,0.76391,0.6172,0.21826,1.70819,2.67521,1.29232,2.54009,0.0003764,0.0003764,0.0003764
43,6808.19,0.8108,2.16961,0.73103,1.38332,0.85826,0.83333,0.86889,0.48671,0.69204,0.7,0.5623,0.22506,1.4249,2.71527,1.03792,2.11875,0.0003368,0.0003368,0.0003368
44,6958.9,0.75732,2.17233,0.68979,1.33099,0.88327,0.86667,0.91607,0.54936,0.69988,0.69962,0.62658,0.22565,1.41986,2.7207,0.92058,2.08196,0.0002972,0.0002972,0.0002972
45,7109.66,0.75207,2.17329,0.63967,1.32364,0.81313,0.83333,0.89348,0.54392,0.63175,0.66667,0.6127,0.28059,1.39748,2.58472,0.94615,2.05089,0.0002576,0.0002576,0.0002576
46,7261.69,0.67085,2.06025,0.5427,1.17152,0.88253,0.86667,0.90859,0.59893,0.71258,0.7,0.68158,0.33262,1.28714,2.57204,0.86012,1.92278,0.000218,0.000218,0.000218
47,7414.26,0.62123,1.96868,0.54733,1.20253,0.89978,0.86667,0.92249,0.65198,0.76669,0.7,0.70514,0.34854,1.15554,2.53151,0.77508,1.77362,0.0001784,0.0001784,0.0001784
48,7566.26,0.6088,1.94197,0.54448,1.18213,0.95863,0.9,0.93823,0.67568,0.76775,0.66134,0.66662,0.34283,1.08871,2.52899,0.74642,1.68212,0.0001388,0.0001388,0.0001388
49,7720.77,0.57516,1.92505,0.51907,1.16315,0.96542,0.93076,0.94636,0.68598,0.75615,0.73333,0.6955,0.34615,1.05965,2.53279,0.7189,1.66606,9.92e-05,9.92e-05,9.92e-05
50,7880.22,0.54988,1.92902,0.48902,1.13435,0.95591,0.93333,0.94849,0.69074,0.75672,0.73333,0.69413,0.34705,1.03023,2.53446,0.70904,1.64903,5.96e-05,5.96e-05,5.96e-05
